# list of attributes that may be useful
# format of this file: anything with a # symbol is ignored
# first line without # will be the name of this "attribute"
# anything else will be values to use
# if you have any useful contributions like this for PHPlist, send them to me, 
# and I can include them in next versions. That will save others in collecting 
# the information
Woonplaats:Cities of Belgium
5080 La Bruyère
4720 La Calamine
7611 La Glanerie
4987 La Gleize
7170 La Hestre
1310 La Hulpe
7100 La Louvière
4910 La Reid
6980 La Roche-en-Ardenne
2430 Laakdal
3400 Laar
9270 Laarne
6567 Labuissière
6821 Lacuisine
7950 Ladeuze
1020 Laeken (Bruxelles)
5550 Laforêt
7890 Lahamaide
1020 Laken (Brussel)
7522 Lamain
4800 Lambermont
6220 Lambusart
4350 Lamine
4210 Lamontzée
6767 Lamorteau
8600 Lampernisse
3620 Lanaken
4600 Lanaye
9850 Landegem
6111 Landelies
3400 Landen
5300 Landenne
9860 Landskouter
5651 Laneffe
3201 Langdorp
8920 Langemark
8920 Langemark-Poelkapelle
3650 Lanklaar
7800 Lanquesaint
4450 Lantin
4300 Lantremange
7622 Laplaigne
8340 Lapscheure
1380 Lasne
1380 Lasne-Chapelle-Saint-Lambert
1370 Lathuy
4261 Latinne
6761 Latour
3700 Lauw
8930 Lauwe
6681 Lavacherie
5580 Lavaux-Sainte-Anne
4217 Lavoir
5670 Le Mesnil
7070 Le Roeulx
5070 Le Roux
9280 Lebbeke
1320 l'Ecluse
9340 Lede
9050 Ledeberg (Gent)
8880 Ledegem
3061 Leefdaal
1755 Leerbeek
6142 Leernes
6530 Leers-et-Fosteau
7730 Leers-Nord
2811 Leest
9620 Leeuwergem
8432 Leffinge
6860 Léglise
5590 Leignon
8691 Leisele
8600 Leke
1502 Lembeek
9971 Lembeke
9820 Lemberge
8860 Lendelede
1750 Lennik
7870 Lens
4280 Lens-Saint-Remy
4250 Lens-Saint-Servais
4360 Lens-sur-Geer
3970 Leopoldsburg
4560 Les Avins
6210 Les Bons Villers
6811 Les Bulles
6830 Les Hayons
4317 Les Waleffes
6464 l'Escaillère
7621 Lesdain
7860 Lessines
5580 Lessive
6953 Lesterny
5170 Lesve
7850 Lettelingen
9521 Letterhoutem
6500 Leugnies
9700 Leupegem
3630 Leut
3000 Leuven
5310 Leuze (Nam.)
7900 Leuze-en-Hainaut
6500 Leval-Chaudeville
7134 Leval-Trahegnies
6238 Liberchies
6890 Libin
6800 Libramont-Chevigny
2460 Lichtaart
8810 Lichtervelde
1770 Liedekerke
9400 Lieferinge
4000 Liège
4020 Liège
4030 Liège
2500 Lier
9570 Lierde
4990 Lierneux
5310 Liernu
4042 Liers
2870 Liezele
7812 Ligne
4254 Ligney
5140 Ligny
2275 Lille
2040 Lillo
1428 Lillois-Witterzée
1300 Limal
4830 Limbourg
1342 Limelette
6670 Limerlé
4357 Limont
4287 Lincent
3210 Linden
1630 Linkebeek
3560 Linkhout
1357 Linsmeau
2547 Lint
3350 Linter
2890 Lippelo
5501 Lisogne
8380 Lissewege
5101 Lives-sur-Meuse
4600 Lixhe
8647 Lo
6540 Lobbes
9080 Lochristi
6042 Lodelinsart
2990 Loenhout
8958 Loker
9160 Lokeren
3545 Loksbergen
8434 Lombardsijde
7870 Lombise
3920 Lommel
4783 Lommersweiler
6463 Lompret
6924 Lomprez
4431 Loncin
1840 Londerzeel
6688 Longchamps (Lux.)
5310 Longchamps (Nam.)
6840 Longlier
1325 Longueville
6600 Longvilly
4710 Lontzen
5030 Lonzée
3040 Loonbeek
8210 Loppem
4987 Lorcé
8647 Lo-Reninge
1651 Lot
9880 Lotenhulle
5575 Louette-Saint-Denis
5575 Louette-Saint-Pierre
1471 Loupoigne
1348 Louvain-la-Neuve
4141 Louveigné
9920 Lovendegem
3360 Lovenjoel
6280 Loverval
5101 Loyers
3210 Lubbeek
7700 Luingne
3560 Lummen
5170 Lustin
6238 Luttre
9680 Maarkedal
9680 Maarke-Kerkem
3680 Maaseik
3630 Maasmechelen
6663 Mabompré
1830 Machelen (Bt.)
9870 Machelen (O.-Vl.)
6591 Macon
6593 Macquenoise
5374 Maffe
7810 Maffle
4623 Magnée
5330 Maillen
7812 Mainvault
7020 Maisières
6852 Maissin
5300 Maizeret
3700 Mal
9990 Maldegem
1840 Malderen
6960 Malempré
1360 Malèves-Sainte-Marie-Wastines
2390 Malle
4960 Malmedy
5020 Malonne
5575 Malvoisin
7170 Manage
4760 Manderfeld
6960 Manhay
8433 Mannekensvere
1380 Maransart
1495 Marbais (Bt.)
6120 Marbaix (Ht.)
6724 Marbehan
6900 Marche-en-Famenne
5024 Marche-les-Dames
7190 Marche-lez-Ecaussinnes
6030 Marchienne-au-Pont
4570 Marchin
7387 Marchipont
5380 Marchovelette
6001 Marcinelle
6987 Marcourt
7850 Marcq
6990 Marenne
9030 Mariakerke (Gent)
2880 Mariekerke (Bornem)
5660 Mariembourg
1350 Marilles
7850 Mark
8510 Marke (Kortrijk)
8720 Markegem
4210 Marneffe
7522 Marquain
6630 Martelange
3742 Martenslinde
5573 Martouzin-Neuville
6953 Masbourg
7050 Masnuy-Saint-Jean (Jurbise)
7050 Masnuy-Saint-Pierre
9230 Massemen
2240 Massenhoven
5680 Matagne-la-Grande
5680 Matagne-la-Petite
9700 Mater
7640 Maubray
7534 Maulde
7110 Maurage
5670 Mazée
1745 Mazenzele
5032 Mazy
5372 Méan
2800 Mechelen
3630 Mechelen-aan-de-Maas
3870 Mechelen-Bovelingen
4219 Meeffe
3391 Meensel-Kiezegem
2321 Meer
3078 Meerbeek
9402 Meerbeke
9170 Meerdonk
2450 Meerhout
2328 Meerle
3630 Meeswijk
8377 Meetkerke
3670 Meeuwen
3670 Meeuwen-Gruitrode
5310 Mehaigne
9800 Meigem
9630 Meilegem
1860 Meise
6769 Meix-Devant-Virton
6747 Meix-le-Tige
9700 Melden
3320 Meldert (Bt.)
3560 Meldert (Limb.)
9310 Meldert (O.-Vl.)
4633 Melen
1370 Mélin
3350 Melkwezer
9090 Melle
1495 Mellery
7540 Melles
6211 Mellet
6860 Mellier
1820 Melsbroek
9120 Melsele
9820 Melsen
4837 Membach
5550 Membre
3770 Membruggen
9042 Mendonk
8930 Menen
6567 Merbes-le-Château
6567 Merbes-Sainte-Marie
1785 Merchtem
4280 Merdorp
9420 Mere
9820 Merelbeke
9850 Merendree
8650 Merkem
2170 Merksem (Antwerpen)
2330 Merksplas
5600 Merlemont
8957 Mesen
7822 Meslin-l'Evêque
5560 Mesnil-Eglise
5560 Mesnil-Saint-Blaise
9200 Mespelare
6780 Messancy
3272 Messelbroek
8957 Messines
7022 Mesvin
3870 Mettekoven
5640 Mettet
8760 Meulebeke
5081 Meux
7942 Mévergnies-lez-Lens
4770 Meyerode
9660 Michelbeke
4630 Micheroux
9992 Middelburg
8430 Middelkerke
5376 Miécret
3891 Mielen-Boven-Aalst
7070 Mignault
3770 Millen
4041 Milmort
2322 Minderhout
6870 Mirwart
4577 Modave
3790 Moelingen
8552 Moen
9500 Moerbeke
9180 Moerbeke-Waas
8470 Moere
8340 Moerkerke
9220 Moerzeke
7700 Moeskroen
4520 Moha
5361 Mohiville
5060 Moignelée
6800 Moircy
2400 Mol
7760 Molenbaix
1080 Molenbeek-Saint-Jean
3461 Molenbeek-Wersbeek
3640 Molenbeersel
3294 Molenstede
1730 Mollem
4350 Momalle
6590 Momignies
5555 Monceau-en-Ardenne
6592 Monceau-Imbrechies
6031 Monceau-sur-Sambre
7000 Mons
4400 Mons-lez-Liège
1400 Monstreux
6661 Mont (Lux.)
5530 Mont (Nam.)
6470 Montbliart
7750 Mont-de-l'Enclus
4420 Montegnée
3890 Montenaken
5580 Mont-Gauthier
7870 Montignies-lez-Lens
6560 Montignies-Saint-Christophe
7387 Montignies-sur-Roc
6061 Montignies-sur-Sambre
6110 Montigny-le-Tilleul
6674 Montleban
7911 Montroeul-au-Bois
7350 Montroeul-sur-Haine
1367 Mont-Saint-André
7542 Mont-Saint-Aubert
7141 Mont-Sainte-Aldegonde
6540 Mont-Sainte-Geneviève
1435 Mont-Saint-Guibert
6032 Mont-sur-Marchienne
4850 Montzen
9310 Moorsel
8560 Moorsele
8890 Moorslede
9860 Moortsele
3740 Mopertingen
9790 Moregem
4850 Moresnet
6640 Morhet
5621 Morialmé
2200 Morkhoven
7140 Morlanwelz
7140 Morlanwelz-Mariemont
6997 Mormont
5190 Mornimont
4670 Mortier
4607 Mortroux
2640 Mortsel
5620 Morville
3790 Mouland
7812 Moulbaix
7543 Mourcourt
7700 Mouscron
7911 Moustier (Ht.)
5190 Moustier-sur-Sambre
5550 Mouzaive
4280 Moxhe
5340 Mozet
3891 Muizen (Limb.)
2812 Muizen (Mechelen)
9700 Mullem
9630 Munkzwalm
6820 Muno
3740 Munsterbilzen
9820 Munte
6750 Musson
6750 Mussy-la-Ville
4190 My
7062 Naast
6660 Nadrin
5550 Nafraiture
6120 Nalinnes
5300 Namêche
5000 Namur
4550 Nandrin
5100 Naninne
5555 Naomé
6950 Nassogne
5360 Natoye
1110 NAVO - NATO
9810 Nazareth
7730 Néchin
9500 Nederboelare
9660 Nederbrakel
9700 Nederename
9400 Nederhasselt
1910 Nederokkerzeel
1120 Neder-Over-Heembeek (Bru.)
9636 Nederzwalm-Hermelgem
3670 Neerglabbeek
3620 Neerharen
3350 Neerhespen
1357 Neerheylissem
3040 Neerijse
3404 Neerlanden
3350 Neerlinter
3680 Neeroeteren
3910 Neerpelt
3700 Neerrepen
3370 Neervelp
7784 Neerwaasten
3400 Neerwinden
9403 Neigem
3700 Nerem
4870 Nessonvaux
1390 Nethen
5377 Nettinne
6840 Neufchâteau
4608 Neufchâteau (Lg.)
7332 Neufmaison
7063 Neufvilles
4721 Neu-Moresnet
4120 Neupré
5600 Neuville (Philippeville)
4121 Neuville-en-Condroz
9850 Nevele
2845 Niel
3668 Niel-bij-As
3890 Niel-bij-Sint-Truiden
9506 Nieuwenhove
1880 Nieuwenrode
9320 Nieuwerkerken (Aalst)
3850 Nieuwerkerken (Limb.)
8600 Nieuwkapelle
8950 Nieuwkerke
9100 Nieuwkerken-Waas
8377 Nieuwmunster
8620 Nieuwpoort
3221 Nieuwrode
2560 Nijlen
1457 Nil-Saint-Vincent-Saint-Martin
7020 Nimy
9400 Ninove
5670 Nismes
1400 Nivelles
5680 Niverlée
6640 Nives
6717 Nobressart
1320 Nodebais
1350 Noduwez
7080 Noirchain
6831 Noirefontaine
5377 Noiseux
9771 Nokere
6851 Nollevaux
2200 Noorderwijk
8647 Noordschote
1930 Nossegem
6717 Nothomb
7022 Nouvelles
4347 Noville (Lg.)
6600 Noville (Lux.)
5380 Noville-les-Bois
5310 Noville-sur-Méhaigne
9681 Nukerke
6230 Obaix
7743 Obigies
7034 Obourg
6890 Ochamps
4560 Ocquier
6960 Odeigne
4367 Odeur
8730 Oedelem
8800 Oekene
2520 Oelegem
8690 Oeren
8720 Oeselgem
1755 Oetingen
7911 Oeudeghien
2260 Oevel
6850 Offagne
7862 Ogy
1380 Ohain
5350 Ohey
5670 Oignies-en-Thiérache
1480 Oisquercq
5555 Oizy
9400 Okegem
2250 Olen
4300 Oleye
7866 Ollignies
5670 Olloy-sur-Viroin
2491 Olmen
4877 Olne
9870 Olsene
4252 Omal
4540 Ombret
5600 Omezée
6900 On
5520 Onhaye
9500 Onkerzele
7387 Onnezies
5190 Onoz
1760 Onze-Lieve-Vrouw-Lombeek
2861 Onze-Lieve-Vrouw-Waver
8710 Ooigem
9790 Ooike (Wortegem-Petegem)
9620 Oombergen (Zottegem)
3300 Oorbeek
9340 Oordegem
9041 Oostakker
8670 Oostduinkerke
9968 Oosteeklo
8400 Oostende
9860 Oosterzele
3945 Oostham
8020 Oostkamp
8340 Oostkerke (Damme)
8600 Oostkerke (Diksmuide)
2390 Oostmalle
8840 Oostnieuwkerke
8780 Oostrozebeke
8640 Oostvleteren
9931 Oostwinkel
9660 Opbrakel
9255 Opdorp
3660 Opglabbeek
3630 Opgrimbie
1421 Ophain-Bois-Seigneur-Isaac
9500 Ophasselt
3870 Opheers
1357 Opheylissem
3640 Ophoven
3960 Opitter
3300 Oplinter
3680 Opoeteren
6852 Opont
1315 Opprebais
2890 Oppuurs
3360 Opvelp
1745 Opwijk
1360 Orbais
5550 Orchimont
7501 Orcq
3800 Ordingen
5640 Oret
4360 Oreye
1031 Organisations Sociales Chrétiennes
6880 Orgeo
7802 Ormeignies
1350 Orp-Jauche
1350 Orp-le-Grand
7750 Orroir
3350 Orsmaal-Gussenhoven
6983 Ortho
7804 Ostiches
1110 OTAN - NATO
8553 Otegem
4210 Oteppe
4340 Othée
4360 Otrange
3040 Ottenburg
9420 Ottergem
1340 Ottignies
1340 Ottignies-Louvain-la-Neuve
9200 Oudegem
8600 Oudekapelle
9700 Oudenaarde
1600 Oudenaken
8460 Oudenburg
1160 Oudergem
3050 Oud-Heverlee
2360 Oud-Turnhout
4590 Ouffet
4102 Ougrée
4680 Oupeye
9406 Outer
3321 Outgaarden
4577 Outrelouxhe
8582 Outrijve
9750 Ouwegem
9500 Overboelare
3350 Overhespen
3090 Overijse
9290 Overmere
3900 Overpelt
3700 Overrepen (Kolmont)
3400 Overwinden
3583 Paal
4452 Paifve
4560 Pailhe
6850 Paliseul
1760 Pamel
7861 Papignies
9661 Parike
1012 Parlement de la Communauté française
1047 Parlement Européen
8980 Passendale
5575 Patignies
7340 Paturages
9630 Paulatem
7740 Pecq
3990 Peer
7120 Peissant
4287 Pellaines
3212 Pellenberg
1670 Pepingen
4860 Pepinster
1820 Perk
7640 Péronnes-lez-Antoing
7134 Péronnes-lez-Binche
7600 Péruwelz
8600 Pervijze
1360 Perwez
5352 Perwez-Haillot
5660 Pesche
5590 Pessoux
9800 Petegem-aan-de-Leie
9790 Petegem-aan-de-Schelde
5660 Petigny
5660 Petite-Chapelle
7850 Petit-Enghien
5555 Petit-Fays
4280 Petit-Hallet
4800 Petit-Rechain
7090 Petit-Roeulx-lez-Braine
7181 Petit-Roeulx-lez-Nivelles
6692 Petit-Thier
1800 Peutie
5600 Philippeville
7160 Piéton
1370 Piétrain
1315 Piètrebais
7904 Pipaix
3700 Piringen (Haren)
6240 Pironchamps
8740 Pittem
4122 Plainevaux
1380 Plancenoit
7782 Ploegsteert
4850 Plombières
2275 Poederlee
9880 Poeke
8920 Poelkapelle
9850 Poesele
9401 Pollare
4910 Polleur
8647 Pollinkhove
7322 Pommeroeul
5574 Pondrôme
6230 Pont-à-Celles
6250 Pont-de-Loup
5380 Pontillas
8970 Poperinge
2382 Poppel
7760 Popuelles
6929 Porcheresse (Lux.)
5370 Porcheresse (Nam.)
1100 Postcheque
7760 Pottes
4280 Poucet
4171 Poulseur
6830 Poupehan
4350 Pousset
5660 Presgaux
6250 Presles
5170 Profondeville
1414 Promo-Control
8972 Proven
5650 Pry
2242 Pulderbos
2243 Pulle
5530 Purnode
5550 Pussemange
2580 Putte
2870 Puurs
7390 Quaregnon
7540 Quartes
1430 Quenast
4610 Queue-du-Bois
7972 Quevaucamps
7040 Quévy
7040 Quévy-le-Grand
7040 Quévy-le-Petit
7380 Quiévrain
1201 R.T.L. - T.V.I.
1006 Raad Vlaamse Gemeenschapscommissie
6792 Rachecourt
4287 Racour
4730 Raeren
6532 Ragnies
4987 Rahier
7971 Ramegnies
7520 Ramegnies-Chin
4557 Ramelot
1367 Ramillies
1880 Ramsdonk
2230 Ramsel
8301 Ramskapelle (Knokke-Heist)
8620 Ramskapelle (Nieuwpoort)
6470 Rance
6043 Ransart
3470 Ransberg
2520 Ranst
2380 Ravels
7804 Rebaix
1430 Rebecq
1430 Rebecq-Rognon
4780 Recht
6800 Recogne
6890 Redu
2840 Reet
3621 Rekem
8930 Rekkem
1731 Relegem
6800 Remagne
3791 Remersdaal
4350 Remicourt
9600 Renaix
6987 Rendeux
8647 Reninge
8970 Reningelst
6500 Renlies
3950 Reppel
7134 Ressaix
9551 Ressegem
6927 Resteigne
2470 Retie
4621 Retinne
4790 Reuland
6210 Rèves
5080 Rhisnes
1640 Rhode-Saint-Genese
4600 Richelle
3770 Riemst
5575 Rienne
6464 Rièzes
3840 Rijkel
2310 Rijkevorsel
3740 Rijkhoven
1010 Rijksadministratief Centrum
2820 Rijmenam
3700 Riksingen
3202 Rillaar
5170 Rivière
1330 Rixensart
6460 Robechies
6769 Robelmont
4950 Robertville
9630 Roborst
5580 Rochefort
6830 Rochehaut
4761 Rocherath
4690 Roclenge-sur-Geer
4000 Rocourt
8972 Roesbrugge-Haringe
8800 Roeselare
5651 Rognée
7387 Roisin
8460 Roksem
8510 Rollegem
8880 Rollegem-Kapelle
4347 Roloux
5600 Roly
5600 Romedenne
5680 Romerée
3730 Romershoven
4624 Romsée
7623 Rongy
7090 Ronquières
9600 Ronse
9932 Ronsele
3370 Roosbeek
1760 Roosdaal
5620 Rosée
6250 Roselies
1331 Rosières
3740 Rosmeer
4257 Rosoux-Crenwick
6730 Rossignol
3650 Rotem
4120 Rotheux-Rimière
3110 Rotselaar
7601 Roucourt
7120 Rouveroy (Ht.)
4140 Rouvreux
6767 Rouvroy
6044 Roux
1315 Roux-Miroir
6900 Roy
9630 Rozebeke
1044 RTBF
8020 Ruddervoorde
6760 Ruette
9690 Ruien
2870 Ruisbroek (Antw.)
1601 Ruisbroek (Bt.)
8755 Ruiselede
3870 Rukkelingen-Loon
6724 Rulles
8800 Rumbeke
7610 Rumes
7540 Rumillies
3454 Rummen
3400 Rumsdorp
2840 Rumst
3803 Runkelen
9150 Rupelmonde
7750 Russeignies
3700 Rutten
3798 's Gravenvoeren
2970 's Gravenwezel
3700 's Herenelderen
7010 S.H.A.P.E. België
7010 S.H.A.P.E. Belgique
6221 Saint-Amand
4606 Saint-André
5620 Saint-Aubin
7034 Saint-Denis (Ht.)
5081 Saint-Denis-Bovesse
6820 Sainte-Cécile
6800 Sainte-Marie-Chevigny
6740 Sainte-Marie-sur-Semois
6680 Sainte-Ode
1480 Saintes
4470 Saint-Georges-sur-Meuse
5640 Saint-Gérard
5310 Saint-Germain
1450 Saint-Géry
7330 Saint-Ghislain
1060 Saint-Gilles
6870 Saint-Hubert
1370 Saint-Jean-Geest
1210 Saint-Josse-ten-Noode
7730 Saint-Léger (Ht.)
6747 Saint-Léger (Lux.)
5003 Saint-Marc
6762 Saint-Mard
5190 Saint-Martin
7500 Saint-Maur
6887 Saint-Médard
4420 Saint-Nicolas (Lg.)
6800 Saint-Pierre
6460 Saint-Remy (Ht.)
4672 Saint-Remy (Lg.)
1370 Saint-Remy-Geest
7912 Saint-Sauveur
5002 Saint-Servais
4550 Saint-Séverin
7030 Saint-Symphorien
7100 Saint-Vaast
6730 Saint-Vincent
4780 Saint-Vith
4671 Saive
6460 Salles
5600 Samart
5060 Sambreville
6982 Samrée
4780 Sankt Vith
7080 Sars-la-Bruyère
6542 Sars-la-Buissière
5330 Sart-Bernard
5575 Sart-Custinne
1495 Sart-Dames-Avelines
5600 Sart-en-Fagne
5070 Sart-Eustache
4845 Sart-lez-Spa
5070 Sart-Saint-Laurent
6470 Sautin
5600 Sautour
5030 Sauvenière
1030 Schaarbeek
1030 Schaerbeek
3290 Schaffen
3732 Schalkhoven
5364 Schaltin
9820 Schelderode
9860 Scheldewindeke
2627 Schelle
9260 Schellebelle
9506 Schendelbeke
1703 Schepdaal
3270 Scherpenheuvel
3270 Scherpenheuvel-Zichem
2970 Schilde
4782 Schoenberg
4782 Schönberg
9200 Schoonaarde
8433 Schore
9688 Schorisse
2900 Schoten
2223 Schriek
8700 Schuiferskapelle
3540 Schulen
5300 Sclayn
5361 Scy
5300 Seilles
6781 Sélange
6596 Seloignes
9890 Semmerzake
1009 Senat de Belgique
7180 Seneffe
6832 Sensenruth
4557 Seny
5630 Senzeille
6940 Septon
4100 Seraing
4537 Seraing-le-Château
5590 Serinchamps
9260 Serskamp
5521 Serville
6640 Sibret
6750 Signeulx
8340 Sijsele
5630 Silenrieux
7830 Silly
9112 Sinaai-Waas
5377 Sinsin
1082 Sint-Agatha-Berchem
3040 Sint-Agatha-Rode
2890 Sint-Amands
9040 Sint-Amandsberg (Gent)
8200 Sint-Andries
9550 Sint-Antelinks
8710 Sint-Baafs-Vijve
9630 Sint-Blasius-Boekel
8554 Sint-Denijs
9630 Sint-Denijs-Boekel
9051 Sint-Denijs-Westrem
8793 Sint-Eloois-Vijve
8880 Sint-Eloois-Winkel
1640 Sint-Genesius-Rode
1060 Sint-Gillis
9200 Sint-Gillis-bij-Dendermonde
9170 Sint-Gillis-Waas
9620 Sint-Goriks-Oudenhove
3730 Sint-Huibrechts-Hern
3910 Sint-Huibrechts-Lille
8600 Sint-Jacobs-Kapelle
8900 Sint-Jan
9982 Sint-Jan-in-Eremo
1080 Sint-Jans-Molenbeek
2960 Sint-Job-in-'t-Goor
1210 Sint-Joost-ten-Node
8730 Sint-Joris (Beernem)
8620 Sint-Joris (Nieuwpoort)
3051 Sint-Joris-Weert
3390 Sint-Joris-Winge
2860 Sint-Katelijne-Waver
1742 Sint-Katherina-Lombeek
9667 Sint-Kornelis-Horebeke
8310 Sint-Kruis (Brugge)
9042 Sint-Kruis-Winkel
1750 Sint-Kwintens-Lennik
3500 Sint-Lambrechts-Herk
1200 Sint-Lambrechts-Woluwe
9980 Sint-Laureins
1600 Sint-Laureins-Berchem
2960 Sint-Lenaarts
9550 Sint-Lievens-Esse
9520 Sint-Lievens-Houtem
9981 Sint-Margriete
3300 Sint-Margriete-Houtem (Tienen)
9667 Sint-Maria-Horebeke
9630 Sint-Maria-Latem
9570 Sint-Maria-Lierde
9620 Sint-Maria-Oudenhove (Zottegem)
1700 Sint-Martens-Bodegem
9830 Sint-Martens-Latem
9800 Sint-Martens-Leerne
1750 Sint-Martens-Lennik
9572 Sint-Martens-Lierde
3790 Sint-Martens-Voeren
8200 Sint-Michiels
9100 Sint-Niklaas
9170 Sint-Pauwels
1541 Sint-Pieters-Kapelle (Bt.)
8433 Sint-Pieters-Kapelle (W.-Vl.)
1600 Sint-Pieters-Leeuw
3220 Sint-Pieters-Rode
3792 Sint-Pieters-Voeren
1150 Sint-Pieters-Woluwe
8690 Sint-Rijkers
1932 Sint-Stevens-Woluwe
3800 Sint-Truiden
1700 Sint-Ulriks-Kapelle
4851 Sippenaeken
7332 Sirault
6470 Sivry
6470 Sivry-Rance
9940 Sleidinge
8433 Slijpe
4450 Slins
3700 Sluizen
9506 Smeerebbe-Vloerzegem
9340 Smetlede
6890 Smuid
8470 Snaaskerke
8490 Snellegem
1105 SOC
4557 Soheit-Tinlot
6920 Sohier
7060 Soignies
4861 Soiron
6500 Solre-Saint-Géry
6560 Solre-sur-Sambre
5140 Sombreffe
5377 Somme-Leuze
6769 Sommethonne
5523 Sommière
5651 Somzée
5340 Sorée
5333 Sorinne-la-Longue
5503 Sorinnes
5537 Sosoye
4920 Sougné-Remouchamps
5680 Soulme
4630 Soumagne
5630 Soumoy
4950 Sourbrodt
6182 Souvret
5590 Sovet
6997 Soy
5150 Soye (Nam.)
4900 Spa
3510 Spalbeek
8433 Spermalie
1212 SPF Mobilité
7032 Spiennes
8587 Spiere
8587 Spiere-Helkijn
5530 Spontin
3740 Spouwen
4140 Sprimont
5190 Spy
2940 Stabroek
8840 Staden
8490 Stalhille
7973 Stambruges
5646 Stave
8691 Stavele
4970 Stavelot
9140 Steendorp
1840 Steenhuffel
9550 Steenhuize-Wijnhuize
8630 Steenkerke (W.-Vl.)
7090 Steenkerque (Ht.)
1820 Steenokkerzeel
9190 Stekene
4801 Stembert
8400 Stene
1933 Sterrebeek
3512 Stevoort
3650 Stokkem
3511 Stokrooie
4987 Stoumont
6887 Straimont
6511 Strée (Ht.)
4577 Strée-lez-Huy
7110 Strépy-Bracquegnies
9620 Strijpen
1760 Strijtem
1853 Strombeek-Bever
8600 Stuivekenskerke
5020 Suarlée
5550 Sugny
5600 Surice
6812 Suxy
6661 Tailles
7618 Taintignies
5060 Tamines
5651 Tarcienne
4163 Tavier
5310 Taviers (Nam.)
6662 Tavigny
6927 Tellin
7520 Templeuve
5020 Temploux
9140 Temse
6970 Tenneville
1790 Teralfene
2840 Terhagen
6813 Termes
1740 Ternat
7333 Tertre
3080 Tervuren
4560 Terwagne
3980 Tessenderlo
3272 Testelt
3793 Teuven
4910 Theux
6717 Thiaumont
7070 Thieu
7901 Thieulain
7061 Thieusies
6230 Thiméon
4890 Thimister
4890 Thimister-Clermont
7533 Thimougies
1402 Thines
6500 Thirimont
4280 Thisnes
4791 Thommen
5300 Thon
1360 Thorembais-les-Béguines
1360 Thorembais-Saint-Trond
7830 Thoricourt
6536 Thuillies
6530 Thuin
7350 Thulin
7971 Thumaide
5621 Thy-le-Bauduin
5651 Thy-le-Château
5502 Thynes
4367 Thys
8573 Tiegem
2460 Tielen
9140 Tielrode
8700 Tielt
3390 Tielt (Bt.)
3390 Tielt-Winge
3300 Tienen
4630 Tignée
4500 Tihange
3150 Tildonk
4130 Tilff
6680 Tillet
4420 Tilleur
5380 Tillier
1495 Tilly
4557 Tinlot
6637 Tintange
6730 Tintigny
2830 Tisselt
6700 Toernich
6941 Tohogne
1570 Tollembeek
3700 Tongeren
2260 Tongerlo (Antw.)
3960 Tongerlo (Limb.)
7951 Tongre-Notre-Dame
7950 Tongre-Saint-Martin
5140 Tongrinne
6717 Tontelange
6767 Torgny
8820 Torhout
4263 Tourinne (Lg.)
1320 Tourinnes-la-Grosse
1457 Tourinnes-Saint-Lambert
7500 Tournai
6840 Tournay
7904 Tourpes
6890 Transinne
6183 Trazegnies
5670 Treignes
4670 Trembleur
3120 Tremelo
7100 Trivières
4280 Trognée
4980 Trois-Ponts
4870 Trooz
1480 Tubize
2300 Turnhout
1049 U.E.-Commission
1048 U.E.-Conseil
1180 Uccle
6833 Ucimont
3631 Uikhoven
9290 Uitbergen
8370 Uitkerke
1180 Ukkel
3832 Ulbeek
5310 Upigny
9910 Ursel
3054 Vaalbeek
3770 Val-Meer
6741 Vance
2431 Varendonk
8490 Varsenare
5680 Vaucelles
7536 Vaulx (Tournai)
6462 Vaulx-lez-Chimay
6960 Vaux-Chavanne
4530 Vaux-et-Borset
6640 Vaux-lez-Rosières
4051 Vaux-sous-Chèvremont
6640 Vaux-sur-Sure
3870 Vechmaal
5020 Vedrin
2431 Veerle
7760 Velaines
5060 Velaine-sur-Sambre
8210 Veldegem
3620 Veldwezelt
7120 Vellereille-les-Brayeux
7120 Vellereille-le-Sec
3806 Velm
4460 Velroux
3020 Veltem-Beisem
9620 Velzeke-Ruddershove
5575 Vencimont
1005 Ver.Verg.Gemeensch.Gemeensch.Comm.
6440 Vergnies
4537 Verlaine
5370 Verlée
9130 Verrebroek
3370 Vertrijk
4800 Verviers
6870 Vesqueville
3870 Veulen
8630 Veurne
5300 Vezin
7538 Vezon
9500 Viane
8570 Vichte
6690 Vielsalm
4317 Viemme
2240 Viersel
4577 Vierset-Barse
5670 Vierves-sur-Viroin
6230 Viesville
1472 Vieux-Genappe
4190 Vieuxville
4530 Vieux-Waleffe
6890 Villance
4260 Ville-en-Hesbaye
7322 Ville-Pommeroeul
7334 Villerot
4161 Villers-aux-Tours
5630 Villers-Deux-Eglises
6823 Villers-Devant-Orval
5600 Villers-en-Fagne
6600 Villers-la-Bonne-Eau
6769 Villers-la-Loue
6460 Villers-la-Tour
1495 Villers-la-Ville
4530 Villers-le-Bouillet
5600 Villers-le-Gambon
4280 Villers-le-Peuplier
4550 Villers-le-Temple
4340 Villers-l'Evêque
5080 Villers-lez-Heest
7812 Villers-Notre-Dame
6210 Villers-Perwin
6280 Villers-Poterie
7812 Villers-Saint-Amand
6941 Villers-Sainte-Gertrude
7031 Villers-Saint-Ghislain
4453 Villers-Saint-Siméon
5580 Villers-sur-Lesse
6740 Villers-sur-Semois
7070 Ville-sur-Haine (Le Roeulx)
